ok  	github.com/nfsarch33/engram/cmd/engramcli	1.618s
ok  	github.com/nfsarch33/engram/cmd/engramd	5.955s
ok  	github.com/nfsarch33/engram/internal/adapters/embeddings/chain	1.334s
ok  	github.com/nfsarch33/engram/internal/adapters/embeddings/minimax	2.530s
ok  	github.com/nfsarch33/engram/internal/adapters/embeddings/ollama	2.180s
ok  	github.com/nfsarch33/engram/internal/adapters/embeddings/openai	2.916s
ok  	github.com/nfsarch33/engram/internal/adapters/history/sqlite	4.224s
ok  	github.com/nfsarch33/engram/internal/adapters/httpapi	1.977s
ok  	github.com/nfsarch33/engram/internal/adapters/httpapi/mem0compat	4.448s
ok  	github.com/nfsarch33/engram/internal/adapters/httputil	5.073s
ok  	github.com/nfsarch33/engram/internal/adapters/llm/openai	5.372s
ok  	github.com/nfsarch33/engram/internal/adapters/mcp	3.875s
ok  	github.com/nfsarch33/engram/internal/adapters/vectorstore/inmem	4.676s
ok  	github.com/nfsarch33/engram/internal/adapters/vectorstore/qdrant	3.285s
ok  	github.com/nfsarch33/engram/internal/app/engramsvc	5.135s
ok  	github.com/nfsarch33/engram/internal/cache	5.074s
ok  	github.com/nfsarch33/engram/internal/config	4.690s
ok  	github.com/nfsarch33/engram/internal/domain/engram	4.773s
ok  	github.com/nfsarch33/engram/internal/integration	5.125s
?   	github.com/nfsarch33/engram/pkg/engram	[no test files]
